,api_name,api_description,input,example,error
0,*absoluterotatedummyjoint,"Description
Rotate the dummy’s joint to an absolute position. Rotation occurs first about the X, then
        Y, then Z.
","Inputs

entities
The entity type. Currently, only components is supported.
xRot
The rotation in degrees about the child’s X axis.
yRot
The rotation in degrees about the child’s Y axis.
zRot
The rotation in degrees about the child’s Z axis.
parentChild
0 - Child rotates about its own axis (after being reset back to parent). 
1 - Parent rotates about the child’s axis.

When parentChild is 0, xRot, yRot,
        and zRot define the rotational differences between the parent and child
        systems. That is, the child will be reset back to the parent, and then it will be rotated
        about the X, Y, and Z (in that order).
When parentChild is 1, xRot, yRot,
        and zRot define the rotations in the X, Y, and Z directions that will
        occur from the current parent’s position.
","Examples
For a rotational difference of 20 degrees about the X axis between the child and
        parent:
*absoluterotatedummyjoint(components, 1, 20, 0, 0, 0)
",
1,*absorbentities,"Description
Absorb entities using the tabular segregation interface.
","
Inputs


entity_type
The type of entity to absorb.  Currently only supported for loads.
mark_id
The ID of the mark containing the entities to absorb.  Valid values are 1 and 2.
value_rule
Specifies whether value-based segregation is desired and, if so, the type of tolerance
            provided:
0 - Do not segregate by value
1 - Segregate by value, tolerance is a ratio
2 - Segregate by value, tolerance is a percentage
3 - Segregate by value, tolerance is an absolute
tolerance
The tolerance value when value_rule is non-zero.
location_unit_rule
Specifies whether location unit-based segregation is desired and, if so, the type of
            entities considered:
0 - Do not segregate by location unit
1 - Segregate by location unit, all cases considered
2 - Segregate by location unit, consider only 2D shells
4 - Segregate by location unit, consider only 2D edges
6 - Segregate by location unit, consider 2D shells and 2D edges
8 - Segregate by location unit, consider only 3D faces
10 - Segregate by location unit, consider 2D shells and 3D faces
12 - Segregate by location unit, consider 2D edges and 3D faces
14 - Segregate by location unit, consider 2D shells, 2D edges and 3D faces
topology_rule
Specifies whether topology-based segregation is desired and, if so, the type of
            topologies considered:
0 - Do not segregate by topology
1 - Segregate by topology, all cases considered
2 - Segregate by topology, consider only non-adjoining mesh
4 - Segregate by topology, consider only component boundary
6 - Segregate by topology, consider non-adjoining mesh and component boundary
8 - Segregate by topology, consider only mesh edge
10 - Segregate by topology, consider non-adjoining mesh and mesh edge
12 - Segregate by topology, consider component boundary and mesh edge
14 - Segregate by topology, consider non-adjoining mesh, component boundary and mesh
            edge
face_angle
The face angle value when topology_rule specifies the mesh edge
            option.
edge_angle
The edge angle value when topology_rule specifies the mesh edge
            option.
preseve_parameters
0 - Do not preserve
1 - Preserve
max_cluster_count
The maximim number of clusters allowed per entity instance.

","Examples
Absorb all displayed loads without any
        segregation:*createmark loads 1 displayed
*absorbentities loads 1 0 0 0 0 0 0 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
2,*accepteditedsurface_with_user_tolerance ,"Description
Moves surfaces from the midsurface to edit component into the middle surface component and
        stitches surfaces according to a specified tolerance.
","Inputs

auto_stitch
= 0 - Auto-stitch is disabled.
≠ 0 - Auto-stitch combines surfaces using the specified
            tolerance.
tolerance
Surfaces within this decimal-value tolerance are stitched together if
              auto_stitch is enabled.
If auto_stitch is enabled but tolerance is less
            than zero, then the result is stitched with a tolerance of 1/5 the midsurface
            thickness.

","Example
To move midsurfaces from midsurface to edit into middle surface with a stitching tolerance
        equal to ¼ of the midsurface thickness:
*accepteditedsurface_with_user_tolerance(1,0.25)
",
3,*acousticmeshcreate,"Description
Options are available for creating the mesh using specified type and quality parameters, to
        create face elements, to input fixed nodes within the cavities and optionally to only create
        a mesh for particular AC_Structural.N components. The AC_Structural.N naming convention is
        used to separate each cavity by placing them in components of different names, where N
        ranges from 1 to the number of structural cavities found. 
This command can be run multiple times after running *acousticmeshinit a
        single time. Each time *acousticmeshcreate is run, it automatically
        deletes any existing AC_Structural.N and AC_Seat.M components. Note that a similar naming
        convention is used for seat cavities, AC_Seat.M. In order to avoid memory leaks, the
          *acousticmeshend command should be called when the acoustic cavity mesh
        process is complete.
","Inputs

fixed_nodes_mark_id
The mark ID containing any internal fixed nodes. Valid values are 1 and 2. An empty mark can be specified or 0 can be used, if there are no
            fixed nodes specified.
mesh_type
0 - Preview mesh 
13 - For all-tetrahedral 
14 - For hexa-tetrahedral, non-conforming
max_structural_cavities
A flag used to denote the number of cavities for which to output elements: 
0 - All
> 0 -  The number of largest cavities found. 
< 0 - Those above this (positive) percent of largest cavities found.
min_jacobian
The minimum Jacobian for any hexa elements created. It is measured at the corner nodes
            of the elements.
min_tet_collapse
The minimum tet-collapse for any tetrahedral elements created.
create_comp_mark
If 1 or 2, only output cavities for components are placed on this mark. These
            components are those with the AC_Structural.N naming convention. 
Use 0, if not required.
create_cavity_faces
Create faces for any solid-meshed cavities. These elements are placed in the
            ^cavity_faces component.
reserved1
Reserved for future use. Must be specified as 0.
reserved2
Reserved for future use. Must be specified as 0.

","Examples
To produce an acoustic cavity mesh preview of the 10 largest cavities:
*acousticmeshcreate 0 0 10 0.0 0.0 0 0 0 0
To produce an acoustic cavity mesh hexa-tetrahedral mesh of the 10 largest cavities. There
        are fixed nodes and cavities to output. Also, the output of cavity faces is enabled. There
        are also minimum acceptable Jacobian and tet-collapse values specified (0.2 and 0.1,
        respectively).*acousticmeshcreate 1 14 10 0.2 0.1 1 1 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
4,*acousticmeshinit,"Description
Used to initialize an acoustic cavity mesh. This command must be run before
          *acousticmeshcreate, which actually generates the preview and solid
        acoustic cavity meshes.
","Inputs

structural_mark_id
The mark ID containing any input structural comps. Valid values are 1 and 2.
seats_mark_id
The mark ID containing any seat comps. Valid values are 1 and 2.
cell_size
The element size of the solid elements.
seat_coupling
A flag used to denote: 
0 - Node-to-node re-mesh.
1 - Seats are considered as master MPC.
2 - Seats are considered as slave MPC.
topo_patch_size
The input (topological) hole patch size.
semantic_patch_size
The input (semantic) hole patch size.
create_hole_elements
A value of 1 indicates to create patch elems to topo holes. These elements are places
            in the ^patches_holes component.
flag
Reserved for future use. Must be specified as 0.
reserved
Reserved for future use. Must be specified as 0.

","Examples
To initialize an acoustic cavity mesh with an element size of 40.0, patching holes and gaps
        of 200.0 and 100.0 respectively, and creating the hole patch elements:
*acousticmeshinit 1 2 40.0 0 200.0 100.0 1 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
5,*acousticmeshinterface_2,"Description
Used to query the results of an acoustic cavity mesh operation. This command must be run
        after *acousticmeshcreate. It specifically utilizes a bounding box
        defined by the acmodl_normal, acmodl_intol, and
          acmodl_dskneps input parameters to identify:
The wetted nodes on the body: nodes on elements on the interface with the fluid that
            satisfy the bounding box criteria. 
The interface nodes of the fluid: the nodes on the fluid faces that are on faces that
            have at least one body node within their bounding box. 
The wetted element faces of the body: the elements on the body that contain at least
            one node within a bounding box. 
The interface faces of the fluid: the fluid faces that have at least one body node
            within their bounding box. 
The wetted body components: the components that contain at least one element on the
            body that has a node on the wetted interface.


It should be noted that the body is composed of the structural and the seat components.
","Inputs

mark_id_cavity
The ID of the mark containing the 3D cavity components. Valid values are 1 and 2.
mark_id_structural
The ID of the mark containing the  2D structural components. Valid values are 1 and 2.
wetted_node_output_mark_id
The ID of the mark containing the found wetted body nodes. Valid values are 1 and 2.
If set to 0, the values are not returned.
interface_node_output_mark_id
The ID of the mark containing the found fluid interface nodes. Valid values are 1 and 2.
If set to 0, the values are not returned.
wetted_element_output_mark_id
The ID of the mark containing the found wetted body element faces. Valid values are 1 and 2.
If set to 0, the values are not returned.
interface_element_output_mark_id
The ID of the mark containing the found fluid interface element faces. Valid values
            are 1 and 2, if the create_cavity_faces option was enabled for
              *acousticmeshcreate. 
If set to 0, the values are not returned.
wetted_component_output_mark_id
The ID of the mark containing the found wetted body components. Valid values are 1 and 2.
If set to 0, the values are not returned.
acmodl_normal
Used to define the (positive) height of bounding box for particular fluid faces. This
            height is equal to the largest side of the face multiplied by this value, and is in the
            outward direction.
acmodl_intol
Used to define the (negative) height of the bounding box for particular fluid faces.
            This height is equal to the largest side of the face multiplied by this value, and is in
            the inward direction.
acmodl_dskneps
Used to define the in-plane extension of the bounding box for particular fluid faces.
            This extension is measured relative to the distance from the center of the face to each
            corner. This value is the ratio by which the face is extended at each corner.
reserved1
Reserved for future use. Must be set to 0.
reserved2
Reserved for future use. Must be set to 0.

","Examples
Calculate, and then highlight, the wetted nodes, wetted elements and wetted components for
        two structural and seat cavities:
*createmark comps 1 812
*createmark elems 1 ""by comp id"" 813
*createmark elems 2 ""by comp id"" 816
*acm_create_mpc 1 2 1 50.0 2
*createmark components 1  ""AC_Structural.1"" ""AC_Seat.1"" ""AC_Seat.2"" ""AC_Structural.2""
*createmark components 2 ""input_for_acm""
*acousticmeshinterface_2 1 2 1 0 1 0 2 0.4 0.2 0.2 0 0
hm_highlightmark nodes 1 h
hm_highlightmark nodes 1 n
hm_highlightmark elems 1 h
hm_highlightmark elems 1 n
hm_highlightmark comps 2 h
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
6,*adaptive_triangle_mesh,"Description
Creates an adaptive tria mesh from an STL tria mesh input. This is useful for remeshing
        dirty STL meshes.
","Inputs

entity_type
The type of entity to remesh. Valid values are comps and elems.
mark_id
The ID of the mark containing the input entities. Valid values are 1 and 2.
options
The options to control the new mesh generation. They are all key=value pairs. Pairs
            are separated by either a space or a comma. Valid parameters are:
break_connectivity=<value>
Option to manage the connectivity with the neighboring mesh:
0 – Fix nodes on selection boundary as well as other edges
1 – Break the connectivity at the selection boundary
2 – Keep the connectivity at the selection boundary
3 – Redo connectivity outside the selection, the spread of the transition region
                  is determined automatically till the size meets neighbouring size
dfmin=<value>
The minimum elem size.
feature_angle=<value>
The minimum angle used to define features to keep in the resulting mesh. Default
                  is 35.0 degrees.
growth_ratio=<value>
The growth ratio of the triangles. Default is 1.2.
inside=<value>
The fixed number of layers of elements inside the element selection where the
                  connectivity is redone. This is valid only when
                    break_connectivity=3.
outside=<value>
The fixed number of layers of elements outside the element selection where the
                  connectivity is redone. This is valid only when
                    break_connectivity=3.
ref_size=<value>
The default elem size.
span_angle=<value>
Defines the maximum angle an element can span on a curved section. Default is
                  25.0 degrees.



","Examples
To create a new adaptive mesh of comp ""remesh"" with new mesh size 10, minimum size 1.0,
        growth ratio 1.2, span angle 30 degrees and feature angle 30 degrees:
*createmark comps 1 ""remesh""
*adaptive_triangle_mesh comps 1 ""growth_ratio=1.2 span_angle=30.0 feature_angle=30.0 ref_size=10.0 dfmin=1.0""
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
7,*adaptive_wrapper_end,"Description
Terminates the adaptive wrap mesher and clears the temporary data populated during adaptive
        wrap mesh generation. 
This command must be called after *adaptive_wrapper_init.
","Examples
#Initialization of wrapper mesh with base mesh
*createmark elements 1 ""all""
*adaptive_wrapper_init elements 1 1 0

# Define features
*clearmark elements 1 
*adaptive_wrapper_set_features 1 1 30 1 1

#Set various meshing and refinement parameters
*createstringarray 7 ""LeakCheckNodes: 20 24 19"" ""GapPatchTolerance: 3.0"" ""HolePatchTolerance: 10.0"" ""RefineByBoxCompIds: 4 5 6"" ""RefineByNodeCurvature: 1"" ""RefineByFeatureProximity: 0"" ""RefineByAllElemSize: 1""
*adaptive_wrapper_set_params 10 0.1 1 7

#Proximity options
eval *createstringarray 3 ""WithinGroup: 0.5 1 3 10 12 13"" ""WithinGroup: 1.5 3 9 20"" ""AcrossGroup: 0.5 3 10 12 13 4 9 8 7 19""
*adaptive_wrapper_proximity_params 1 0.2 1 3

#Build skeletal octree structure
*adaptive_wrapper_build

#Generate mesh
*createstringarray 2  ""DoRemesh: 1"" ""RemeshGrowthRate: 1.2""
*adaptive_wrapper_mesh 0 1 2

#End of wrapper mesh
*adaptive_wrapper_end
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
",
8,*adaptive_wrapper_leak_check,"Description
This command can be used to quickly identify leaks from the base mesh. Volumes are defined
        by selection of seed nodes. Seed nodes should not be part of the base mesh. 
This command must be called after *adaptive_wapper_init.
","Inputs

entity_type
The type of entities used for adaptive wrap mesh leak detection. Currently only
            supported for elems.
elem_mark_id
The ID of mark containing the elements. Valid values are 1 and 2.
node_mark_id
The ID of mark containing the seed nodes. Valid values are 1 and 2.
min_size
The minimum element size considered during leak detection. It also acts as the gap
            patch tolerance to check the closeness of volumes.

","Examples
#Initialization of wrapper mesh with base mesh
*createmark elements 1 ""all""
*adaptive_wrapper_init elements 1 1 0   

#Detect leaks
*createmark elements 1 ""all""
*adaptive_wrapper_leak_check elems 1 1 0.1

#Build skeletal octree structure
*adaptive_wrapper_build

#Generate Mesh 
*createstringarray 2  ""DoRemesh: 1"" ""RemeshGrowthRate: 1.2""
*adaptive_wrapper_mesh 0  1 2 

#End of wrapper mesh
*adaptive_wrapper_end
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
9,*adaptive_wrapper_mesh,"Description
This command generates an adaptive wrap mesh.
This command must be called after *adaptive_wrapper_build and must be
        followed by *adaptive_wrapper_end.
","Inputs

mesh_type
0: Quad dominant
string_array
The string array ID that contains the mesh generation parameters. The string array is
            created using the *createstringarray command. This should always be
            set to 1. 
Each string should be contained in quotes and contain one of the following parameters
            as keywords, followed by the parameters values. Keywords and the corresponding values
            can be separated by a semicolon.
AcousticMeshType: <type>
The type of acoustic cavity mesh. 
1 - Hex-tet mesh 
2 - All tet mesh
AcousticMeshQualityHexJacobian: <value> 
The Jacobian target cut off value used for hex-text cavity meshing.
AcousticMeshQualityTetCollapse: <value> 
The tet-collapse target cut off value used for all tet cavity meshing.  
ConsiderCavityByComps: <mark_id> 
During preview, some new components will be displayed to show the cavity. This
                  is the optional mark ID containing those components to send for meshing. 
DoRemesh: <option> 
0 - Do not remesh the wrap mesh with adaptive tria mesh. 
1 - Remesh the wrap mesh with adaptive tria mesh.
ExcludeVolumeSeedNodeMark: <mark_id>  (optional)
Mark ID containing seed nodes used to specify the volumes to exclude from
                  wrapping. 
IncludeVolumeForLargestCavityIndex: <index>  (optional)
Volume index to wrap. 
IncludeVolumeSeedNodeMark: <mark_id>  (optional)
Mark ID containing seed nodes used to specify the volumes to wrap. 
MaxSmoothIterations: <max>  (optional)
Maximum number of smoothing iterations to perform on the wrap mesh. 
RemeshGrowthRate: <rate> 
If DoRemesh is set to 1, this is the specified growth rate to
                  reuse for remeshing.
SpanAngle: <value> 
If DoRemesh is set to 1, this is the specified span angle to
                  use during remeshing. 
OrganizeWrapElemsByBaseComps: <option> 
If set to 1, organize the wrap mesh according to the base mesh components, by
                  creating new components with the same base comp name with the suffix
                    _Wrap. If DoRemesh is set to 1, the suffix
                  is _Wrap_Remesh instead. New assemblies are also created for
                  these components, named Wrapped_Components and
                    Wrapped_Remeshed_Components. 


number_of_strings
Integer indicating the size (number of strings) in the string array created using
              *createstringarray.

","Examples
#Initialization of wrapper mesh with base mesh
*createmark elements 1 ""all""
*adaptive_wrapper_init elements 1 1 0

# Define features
*clearmark elements 1 
*adaptive_wrapper_set_features 1 1 30 1 1

#Set various meshing and refinement parameters
*createstringarray 7 ""LeakCheckNodes: 20 24 19"" ""GapPatchTolerance: 3.0"" ""HolePatchTolerance: 10.0"" ""RefineByBoxCompIds: 4 5 6"" ""RefineByNodeCurvature: 1"" ""RefineByFeatureProximity: 0"" ""RefineByAllElemSize: 1""
*adaptive_wrapper_set_params 10 0.1 1 7

#Proximity options
eval *createstringarray 3 ""WithinGroup: 0.5 1 3 10 12 13"" ""WithinGroup: 1.5 3 9 20"" ""AcrossGroup: 0.5 3 10 12 13 4 9 8 7 19""
*adaptive_wrapper_proximity_params 1 0.2 1 3

#Build skeletal octree structure
*adaptive_wrapper_build

#Generate mesh
*createstringarray 2  ""DoRemesh: 1"" ""RemeshGrowthRate: 1.2""
*adaptive_wrapper_mesh 0 1 2

#End of wrapper mesh
*adaptive_wrapper_end
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
