,api_name,api_description,input,example,error
0,hf_getautotippingangles ,"Description
This command returns the tipping angles and rotation plane of auto-tipping for selected
        elements.
","Inputs

mark_id
Selection mark, which can be 1 or 2.
symmetric_pane_normal_vector_id
A vector ID if the selected mesh is half of a symmetrical part.

","Example
*createmark elements 1 all
set returnValue [hf_getautotippingangles 1 0]
set angle [ lindex $ returnValue 0 ]
set rotationPlaneX [ lindex $ returnValue 1 ]
set rotationPlaneY [ lindex $ returnValue 2 ]
set rotationPlaneZ [ lindex $ returnValue 3 ]
set rotationAnlongX [ lindex $ returnValue 4 ]
set rotationAnlongY [ lindex $ returnValue 5 ]
set rotationAnlongZ [ lindex $ returnValue 6 ]
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
1,hm_addchildrenoflistsinmark,"Description
Add children entities of lists in a mark.
","
Inputs


mark_id
The ID of the mark.  Valid values are 1 and 2.
recursive
0 - Do not return children entities of children lists
1 - Return children entities of children lists
references_mode
Determines how to compute entities referred by children entities:
0 - No references are returned
1 - Direct containment, such as elems by comps, or nodes by sets
2 - Only applicable to comps containing nodes, and recursive content of sets and
            assemblies
3 - Direct references
4 - Direct descendants
5 - Expanded descendants

","Examples
To populate mark 1 without
        recursion:hm_addchildrenoflistsinmark 1 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
2,hm_ae_get_partson,"Description
Returns the part IDs for given attachments.
","
Inputs


mark_id
The ID of the mark of attachments.  Valid values are 1 and 2.

","Examples
To get the parts for all attachments:
*createmark attachments 1 all
hm_ae_get_partson 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
3,hm_ae_state,"Description
Return the current state of an attachment (modified, unrealized, realized, failed).
","
Inputs


id
The ID of the attachment to query.

","Examples
To query the state of attachment 4:
hm_ae_state 4
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
4,hm_answernext ,"Inputs

answer
Valid values are yes, no, all (for 'yes to all') and nall (for 'no to all').

","Example
To answer yes to deleting the current model, which has not been saved:
hm_answernext yes
*deletemodel
","Errors
None.
",
5,hm_assemlist ,"Description
Returns the hierarchical structure of assemblies, and optionally standalone components and
        multibodies, along with properties, materials, groups and beamsection collectors. 
In the same way that a directory list is made up of separated sub-directories, the returned
        list consists of separated entity names. 
If the output is not requested to include the entity type, any path that ends in the
        separator character represents an empty assembly.
","Inputs

separator
The character used to separate the assemblies in the list.
full_listing
0 - Do not include components and multibodies not in assemblies, nor any materials,
            properties, beamsectcols and groups. 
1 - Include components and multibodies not in assemblies, and all materials,
            properties, beamsectcols and groups. 
This is optional. If not specified, a value of 0 is assumed.
append_entity_type
0 - Do not append the entity type to the entity output. 
1 - Append the entity type to the entity output.
This is optional. If not specified, a value of 0 is assumed. If specified as 1,
              type_separator is mandatory.
type_separator
The character used to separate the entity type names in the list. 
Only used if append_entity_type is 1. 
For example: With ‘/’ as separator and ‘:’ as type_separator: the
            output might look like:

 /assemblies:assem1/assemblies:subassem1/components:comp1


","Example
To find the hierarchy for the following structure of assemblies and components, using a
        separator of /:
hm_assemlist /
/wheel/base/Part1 /wheel/attachments/Part2 /head/Part3 /empty/
For the same example, include the full listing:
hm_assemlist / 1
/wheel/base/Part1 /wheel/attachments/Part2 /head/Part3 /empty/ /Part4
For the same example, include the full listing as well as the entity types, with a
        separator of %
hm_assemlist / 1 1 %
/assemblies%wheel/assemblies%base/components%Part1
        /assemblies%wheel/assemblies%attachments/components%Part2 /assemblies%head/components%Part3
        /assemblies%empty /components%Part4
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
6,hm_attributeentitytype ,"Description
Returns the entity type number of an entity attribute on an entity for the current
        template. If the attribute does not exist on the entity, or is not an attribute from the
        current template, an error is returned.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
attribute_name_or_id
The name or ID of the attribute to query. The attribute must be in the current
            template.
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.

","Examples
To get the attribute entity type number of the entity attribute with name LSD_CID on
        property 1 for the LS-DYNA template:
hm_attributeentitytype props 1 LSD_CID -byid
To get the attribute entity type number of the entity attribute with ID 412 on property 1
        for the LS-DYNA template:
hm_attributeentitytype props 1 412 -byid
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
7,hm_attributeidentifier ,"Description
Returns the identifier flag of an attribute on an entity for the current template. If the
        attribute does not exist on the entity, or is not an attribute from the current template, an
        error is returned.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
attribute_name_or_id
The name or ID of the attribute to query. The attribute must be in the current
            template.
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. -
byid - Search only by ID.

","Examples
To get the attribute identifier of the attribute named Rho on material 6 for the LS-DYNA template:
hm_attributeidentifier material 6 Rho -byid
To get the attribute behavior of attribute ID 118 on material 6 for the LS-DYNA template:
hm_attributeidentifier material 6 118 -byid
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
8,hm_attributeindexbehavior,"Description
Returns the behavior flag of an indexed attribute on an entity.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
attribute_index
The index of the attribute owned by the queried entity (starting at 1).
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.

","Example
To get the attribute behavior of the attribute with index 3 on material 6:
hm_attributeindexbehavior material 6 3 -byid
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
9,hm_attributeindexentitytypename ,"Description
Returns the entity type string of an indexed entity attribute on an entity.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
attribute_index
The index of the attribute owned by the queried entity (starting at 1).
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.

","Example
To get the attribute entity type string of the entity attribute with index 4 on property
        1:
hm_attributeindexentitytypename props 1 4 -byid
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
10,hm_attributeindexsolver,"Description
Returns the solver number of an indexed attribute on an entity.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
attribute_index
The index of the attribute owned by the queried entity (starting at 1).
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.

","Example
To get the attribute solver number of the attribute with index 3 on material 6:
hm_attributeindexsolver material 6 3 -byid
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
11,hm_attributeindextype,"Description
Returns the attribute type number of an indexed attribute on an entity. The values returned
        have the following meanings: 
1 - integer 
2 - double 
3 - string 
4 - 1D integer array 
5 - 1D double array 
6 - entity 
7 - (not supported) 
8 - (not supported) 
9 - 2D integer array 
10 - 2D double array 
11 - string array 
12 - 1D entity array 
13 - 2D entity array
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
attribute_index
The index of the attribute owned by the queried entity (starting at 1).
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.

","Example
To get the attribute type number of the attribute with index 4 on property 1:
hm_attributeindextype props 1 4 -byid
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
12,hm_attributelist ,"Description
Returns a list of all attribute IDs or names assigned to a specific entity for the current
        template.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
value
The type of list to return. Valid values are: 
id - the attribute IDs 
name - the attribute names
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.

","Examples
To list the attribute IDs for the current template assigned to mat ID 6:
hm_attributelist mats 6 id
To list the attribute names for the current template assigned to mat name 6:
hm_attributelist mats 6 name -byname
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
13,hm_attributenamefromid ,"Description
Returns an attribute name from the attribute ID for the current template. If the attribute
        does not exist in the current template, an error is returned.
","Inputs

attribute_id
The ID of the attribute to query.

","Example
To get the attribute name of the attribute ID 100:
hm_attributenamefromid 100
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
14,hm_attributesolverarrayvalues ,"Description
Returns the solver code and all values for a 1D array attribute on an entity. The command
        first searches to find the specified attribute for the current template. If the attribute is
        not found for the current template, the search can be extended to search all attributes
        assigned to the entity. If the attribute does not exist on the entity, an error is
        returned.
","Inputs

entity_type
The type of entity to query.
entity_name_or_id
The name or ID of the entity.
search_type
By default, HyperMesh searches for entities by name, and
            if the name is not found, it then searches by ID. This option allows you to specify how
            the search for an entity should be conducted. Valid values are: 
-byname - Search only by name. 
-byid - Search only by ID.
attribute_name_or_id
The name or ID of the attribute to query. If a name is specified, the attribute must
            exist in the current template.
extend_search
By default, the attribute will only be searched for the current template. However, the
            search can be extended to search all attributes assigned to the entity. If the attribute
            is specified by name, this argument is ignored and only the current template is
            considered. Valid values are: 
0 - Search only attributes for the current template on the entity. 
1 - Search all attributes on the entity.

","Example
To get the solver code and all values of the 1D array for the attribute with name Example
        on material 6, considering only the current template:
hm_attributesolverarrayvalues material 6 Example -byid
or
hm_attributesolverarrayvalues material 6 Example -byid 0
To get the solver code and all values of the 1D array for the attribute with ID 100 on
        material 6, considering all attributes:
hm_attributesolverarrayvalues material 6 100 -byid 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
15,hm_attributetype ,"Description
Returns the attribute type number of an attribute for the current template. If the
        attribute is not an attribute from the current template, an error is returned. The values
        returned have the following meanings: 
1 - integer 
2 - double
3 - string 
4 - 1D integer array
5 - 1D double array 
6 - entity 
7 - (not supported) 
8 - (not supported) 
9 - 2D integer array 
10 - 2D double array 
11 - string array 
12 - 1D entity array 
13 - 2D entity array


","Inputs

attribute_name_or_id
The name or ID of the attribute to query. The attribute must be in the current
            template.

","Examples
To get the attribute type number of the attribute named LSD_PID for the LS-DYNA template:
hm_attributetype LSD_PID
To get the attribute type number of the attribute ID 149 for the LS-DYNA template:
hm_attributetype 149
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
16,hm_bag_getconfigfromgenericname ,"Description
This command returns the bag configuration for the specified generic name.
","Inputs

name
The generic name of the bag configuration.

","Example
To get the bag configuration of ADMPart generic name:
hm_bag_getconfigfromgenericname ADMPart
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
17,hm_bag_getgenericnamefromconfig,"Description
This command returns the generic bag name for the specified bag config.
","Inputs

config
The bag configuration.

","Example
To get the generic name of bag config 4:
hm_bag_getgenericnamefromconfig 4
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
